Company name,Stockholders Equity - Total  - 22,Difference in Total Equity,ROE,ROA,Total Assets - 21,Total Assets - 22,Difference in Total Assets,Operational Income 21,Sales - 21,Operational Income to Sales -21,Operational Income 22,Sales - 22,Difference in Sales,Operational Income to Sales - 22,Difference in Op. In /Sales (Operational Income/Sales growth),Earning per Share - 22,Sector,Organization Score,Organization Progress,Relationship score,Relationship progress,Engagement Intensity score,HQ Region,Scope 3 category,Indicator 1,Indicator 1 - progress,Indicator 2,Indicator 2 - progress,Indicator 3,Indicator 3 - progress,Indicator 4,Indicator 4 - progress,Indicator 5,Indicator 5 - progress,Indicator 6,Indicator 6 - progress,Indicator 7,Indicator 7 - progress,Indicator 8,Indicator 8 - progress,Indicator 10,Indicator 10 - progress
Hitachi Ltd.,5355277,897045,0.108952721,0.04201418,11852853,13887502,2034649,798910,8729196,0.091521602,782625,10264602,1535406,0.076245041,-0.015276561,603.75,Other Industrials,0.51,No change in score,0.51,Improvement in score,0.14,Asia,No,Y,No change in score,Y,No change in score,Y,No change in score,N,No change in score,Partial,No change in score,N,No change in score,Partial,No change in score,Partial,No change in score,Y,No change in score
Holcim Ltd.,29614,-859,0.111129871,0.057132441,59885,57603,-2282,3816,26834,0.142207647,3486,29189,2355,0.119428552,-0.022779095,5.477,Cement,0.69,No change in score,0.54,No change in score,0.44,Europe,No,Y,No change in score,Y,No change in score,Partial,No change in score,Partial,No change in score,Partial,No change in score,N,No change in score,Partial,No change in score,Partial,No change in score,Y,No change in score
Hon Hai Precision Industry Co. Ltd.,1650531.039,77270.921,0.085719511,0.034224382,3908878.394,4133974.28,225095.886,148959.492,5994173.882,0.024850713,173787.842,6626996.75,632822.868,0.026224223,0.001373511,10.2069,Other Industrials,Not applicable,Not applicable,Not applicable,Not applicable,0.03,Asia,No,Y,No change in score,Y,No change in score,Y,Improvement in score,Y,Improvement in score,N,No change in score,N,No change in score,Partial,No change in score,Partial,No change in score,Partial,No change in score
Honda Motor Co.,10772546,1399707,0.065635284,0.029493789,21921030,23973153,2052123,660208,13170519,0.050127713,871232,14552696,1382177,0.059867395,0.009739682,411.09,Autos,0.55,No change in score,0.5,Improvement in score,0.31,Asia,Yes (use of sold product - Category 11 of the GHG protocol),Y,No change in score,Y,No change in score,N,No change in score,N,No change in score,N,No change in score,N,No change in score,N,No change in score,Partial,No change in score,Partial,No change in score
Iberdrola SA,58114,1988,0.072977252,0.0274202,141752,154667,12915,7330,39114,0.187400931,7958,53949,14835,0.147509685,-0.039891246,0.6552,Electric Utilities,0.81,No change in score,0.71,No change in score,0.58,Europe,Yes (use of sold product from oil and gas distribution businesses - Category 11 of the GHG protocol),Y,No change in score,Partial,No change in score,Y,No change in score,Y,No change in score,Partial,No change in score,N,No change in score,Partial,No change in score,Y,No change in score,Y,No change in score
Imperial Oil,22413,678,0.327488511,0.168642588,40782,43524,2742,3297,35580,0.092664418,9304,57234,21654,0.162560716,0.069896297,11.47,Oil & Gas,0.45,No change in score,0.42,No change in score,0.2,North America,Yes (use of sold product - Category 11 of the GHG protocol),N,No change in score,Partial,Improvement in score,Partial,Improvement in score,Partial,No change in score,N,No change in score,N,No change in score,Partial,No change in score,Partial,No change in score,Partial,No change in score
Incitec Pivot Limited,6289.7,921.1,0.161168259,0.09331075,9390.6,10863.7,1473.1,499.5,4348.5,0.114867196,1426.8,6315.3,1966.8,0.225927509,0.111060314,0.5219,Chemicals,0.45,No change in score,0.43,No change in score,0.1,Australasia,Yes (purchased goods and services (Category 1 of the GHG protocol) and use of sold products (Category 11 of the GHG protocol)),Partial,No change in score,Partial,No change in score,Partial,No change in score,Partial,No change in score,Y,No change in score,N,No change in score,Partial,No change in score,Y,No change in score,Y,No change in score
International Paper Company,8497,-585,0.177003648,0.062823726,25243,23940,-1303,1506,19363,0.077777204,1819,21161,1798,0.085960021,0.008182817,4.79,Paper,0.47,No change in score,0.36,No change in score,0.08,North America,No,N,No change in score,N,No change in score,Partial,No change in score,Partial,Improvement in score,N,No change in score,N,No change in score,Partial,No change in score,Partial,No change in score,Partial,No change in score
Kinder Morgan,32114,193,0.079342343,0.036359485,70416,70078,-338,4533,16610,0.272907887,4026,19200,2590,0.2096875,-0.063220387,1.12,Oil & Gas Distribution,0.43,No change in score,Not applicable,Not applicable,0.15,North America,Yes (use of sold product - Category 11 of the GHG protocol),N,No change in score,N,No change in score,N,No change in score,N,No change in score,N,No change in score,N,No change in score,Partial,No change in score,Partial,No change in score,Y,No change in score
Koninklijke Philips,14196.103,-2266.687,-0.121057025,-0.052398346,35212.742,32797.562,-2415.18,1350.006,19511.96,0.069188641,433.909,19052.468,-459.492,0.022774425,-0.046414216,-1.97,Other Industrials,0.83,No change in score,0.55,No change in score,0.23,Europe,No,Y,No change in score,Y,No change in score,Y,No change in score,Y,No change in score,Partial,No change in score,N,No change in score,Partial,No change in score,Partial,No change in score,Partial,No change in score
Korea Electric Power Corp. (KEPCO),42000256,-23311593,-0.582540568,-0.104200735,211108870,234804994,23696124,-5860143,60574819,-0.096742229,-32655153,71257863,10683044,-0.458267363,-0.361525135,-38112,Electric Utilities,0.52,No change in score,0.46,Not applicable,0.26,Asia,No,Y,No change in score,Partial,No change in score,Partial,No change in score,N,No change in score,N,No change in score,N,No change in score,Partial,No change in score,Partial,No change in score,Partial,No change in score
lAir Liquide SA,24572,2573.2,0.112274133,0.055713074,46783.1,49518,2734.9,3927.3,23334.8,0.168302278,4608.3,29934,6599.2,0.153948687,-0.014353591,5.2844,Chemicals,0.58,No change in score,0.52,No change in score,0.31,Europe,Yes (purchased goods and services (Category 1 of the GHG protocol) and use of sold products (Category 11 of the GHG protocol)),Partial,No change in score,Partial,No change in score,Partial,No change in score,Partial,No change in score,Partial,Improvement in score,N,No change in score,N,No change in score,Partial,No change in score,Partial,No change in score
Lockheed Martin Corporation,9266,-1693,0.618605655,0.108396369,50873,52880,2007,9097,67044,0.135687012,8387,65984,-1060,0.127106571,-0.00858044,21.74,Other transport,0.54,No change in score,0.42,No change in score,0.06,North America,Yes (use of sold product - Category 11 of the GHG protocol),N,No change in score,N,No change in score,Partial,No change in score,N,No change in score,N,No change in score,N,No change in score,Partial,No change in score,Partial,No change in score,Partial,No change in score
LyondellBasell Industries N.V. Cl A,12629,757,0.307387758,0.106750997,36742,36365,-377,7397,46173,0.16020185,5200,50451,4278,0.103070306,-0.057131544,11.86,Chemicals,0.54,No change in score,0.46,No change in score,0.28,Europe,Yes (purchased goods and services (Category 1 of the GHG protocol) and use of sold products (Category 11 of the GHG protocol)),Partial,No change in score,Partial,No change in score,Partial,No change in score,N,No change in score,Partial,No change in score,N,No change in score,Partial,No change in score,Partial,No change in score,Partial,No change in score
Marathon Petroleum,34119,1503,0.425452094,0.161461114,85373,89904,4531,3353,119983,0.027945626,18970,177453,57470,0.106901546,0.07895592,28.17,Oil & Gas,0.27,No change in score,0.27,No change in score,0.26,North America,Yes (use of sold product - Category 11 of the GHG protocol),N,No change in score,N,No change in score,Partial,No change in score,N,No change in score,N,No change in score,N,No change in score,Partial,No change in score,Partial,No change in score,Partial,No change in score
Martin Marietta Materials,7172.8,635.2,0.120845416,0.057811333,14393,14993.6,600.6,1028,5414,0.189878094,1026.6,6160.7,746.7,0.166636908,-0.023241186,13.74,Cement,Not applicable,Not applicable,0.37,No change in score,0.03,North America,No,N,No change in score,N,No change in score,Partial,No change in score,N,No change in score,N,No change in score,N,No change in score,Partial,No change in score,Partial,No change in score,Partial,No change in score
Mercedes-Benz Group AG,86540,13373,0.167564132,0.055769859,259831,260015,184,15032,133893,0.112268752,17469,150017,16124,0.116446803,0.004178051,13.5549,Autos,0.62,Not applicable,0.47,Not applicable,0.31,Europe,Yes (use of sold product - Category 11 of the GHG protocol),Y,No change in score,Y,No change in score,Partial,No change in score,Partial,No change in score,Partial,No change in score,Partial,Improvement in score,Partial,No change in score,Y,No change in score,Y,No change in score
National Grid PLC,23856,3996,0.091465459,0.023002319,67216,94860,27644,3076,14779,0.208133162,4205,18449,3670,0.227925633,0.019792471,0.6063,Electric Utilities,0.66,No change in score,0.52,No change in score,0.39,Europe,Yes (use of sold product from oil and gas distribution businesses - Category 11 of the GHG protocol),Partial,No change in score,Partial,No change in score,Partial,No change in score,N,No change in score,Partial,No change in score,N,No change in score,N,No change in score,Partial,No change in score,Y,No change in score
Naturgy Energy Group SA,9979,1106,0.167551859,0.041396385,38249,40390,2141,2504,22140,0.113098464,3326,33965,11825,0.097924334,-0.01517413,1.74,Oil & Gas Distribution,0.58,No change in score,0.6,No change in score,0.24,Europe,Yes (use of sold product - Category 11 of the GHG protocol),Y,Improvement in score,Y,Improvement in score,Partial,No change in score,Y,Improvement in score,Partial,Improvement in score,N,No change in score,Partial,No change in score,Partial,No change in score,Partial,No change in score
Nestle,42792,-10935,0.216629277,0.068574218,139142,135182,-3960,14640,87088,0.168105824,15754,94424,7336,0.166843175,-0.001262649,3.4245,Consumer goods & Services,0.82,No change in score,0.66,No change in score,0.42,Europe,Yes (purchased goods and services - Category 1 of the GHG protocol),Y,No change in score,Y,No change in score,Y,No change in score,Y,No change in score,Partial,No change in score,N,No change in score,N,No change in score,Partial,No change in score,Y,No change in score
NextEra Energy Inc,48326,2902,0.08581302,0.026092428,140912,158935,18023,2941,17069,0.172300662,4081,20956,3887,0.194741363,0.022440701,2.1,Electric Utilities,0.57,No change in score,0.55,No change in score,0.31,North America,No,N,No change in score,N,No change in score,N,No change in score,Y,No change in score,N,No change in score,N,No change in score,Partial,No change in score,Partial,No change in score,Partial,No change in score
Nippon Steel Corp.,3897009,765622,0.163540083,0.072816726,7573946,8752346,1178400,11381,4829272,0.00235667,840901,6808890,1979618,0.123500453,0.121143783,692.16,Steel,0.34,No change in score,0.48,No change in score,0.32,Asia,No,Y,No change in score,Y,No change in score,Partial,No change in score,N,No change in score,Partial,No change in score,N,No change in score,N,No change in score,Partial,No change in score,Partial,No change in score
Nissan Motor Co. Ltd.,5029584,689758,0.042855975,0.013166049,16452068,16371481,-80587,-150651,7862572,-0.019160524,247307,8424585,562013,0.029355393,0.048515917,55.07,Autos,0.52,No change in score,0.5,Improvement in score,0.27,Asia,Yes (use of sold product - Category 11 of the GHG protocol),Y,No change in score,Y,No change in score,Partial,No change in score,Partial,No change in score,Partial,No change in score,N,No change in score,N,No change in score,Partial,No change in score,Y,No change in score
NRG Energy Inc.,3828,228,0.318965517,0.041892541,23182,29146,5964,3814,24379,0.156446122,1935,31543,7164,0.061344831,-0.095101291,5.17,Electric Utilities,0.5,Improvement in score,0.75,Improvement in score,0.35,North America,Yes (use of sold product from oil and gas distribution businesses - Category 11 of the GHG protocol),Partial,No change in score,Partial,No change in score,N,No change in score,Partial,No change in score,N,No change in score,N,No change in score,Partial,No change in score,Partial,No change in score,Y,Improvement in score
NTPC Ltd.,1391341.5,98719.7,0.119854831,0.040036567,3989662.1,4165167.3,175505.2,217930.2,1115311.5,0.195398505,264167.3,1326692.8,211381.3,0.199117158,0.003718653,17.1976,Electric Utilities,0.55,No change in score,Not applicable,Not applicable,0.05,Asia,No,N,No change in score,N,No change in score,Partial,No change in score,Partial,No change in score,N,No change in score,N,No change in score,N,No change in score,Partial,No change in score,Partial,No change in score
Occidental Petroleum Corp.,30085,9758,0.442213728,0.183227974,75036,72609,-2427,5426,25956,0.209046078,14936,36634,10678,0.407708686,0.198662608,13.41,Oil & Gas,0.57,No change in score,0.33,No change in score,0.28,North America,Yes (use of sold product - Category 11 of the GHG protocol),Y,No change in score,Y,No change in score,N,No change in score,Partial,No change in score,N,No change in score,N,No change in score,Partial,No change in score,Partial,No change in score,Partial,No change in score
Oil & Natural Gas Corp.,2833278.43,407310.55,0.16066937,0.077755844,5432646.13,5854493.21,421847.08,234841.72,3040009.83,0.077250316,575488.79,4912698.31,1872688.48,0.117143116,0.0398928,36.1853,Oil & Gas,0.47,Not applicable,0.58,Not applicable,0.05,Asia,Yes (use of sold product - Category 11 of the GHG protocol),N,No change in score,N,No change in score,N,No change in score,N,No change in score,N,No change in score,N,No change in score,N,No change in score,N,No change in score,N,No change in score
OMV AG,26627,4631,0.136478011,0.064399511,53798,56429,2631,5673,35555,0.159555618,11494,60635,25080,0.189560485,0.030004867,11.1166,Oil & Gas,0.41,No change in score,0.5,No change in score,0.25,Europe,Yes (use of sold product - Category 11 of the GHG protocol),Y,Improvement in score,Y,Improvement in score,Partial,Improvement in score,Y,Improvement in score,N,No change in score,N,No change in score,Partial,No change in score,Partial,No change in score,Y,No change in score
Orica Ltd.,3729.2,936.8,0.038801888,0.017292478,7365.7,8367.8,1002.1,319.2,5207.9,0.061291499,531.5,7096.4,1888.5,0.074897131,0.013605631,0.3488,Other Industrials,0.56,No change in score,0.44,No change in score,0.11,Australasia,Yes (purchased goods and services (Category 1 of the GHG protocol) and use of sold products (Category 11 of the GHG protocol)),Partial,No change in score,Partial,No change in score,Partial,No change in score,N,No change in score,Y,No change in score,N,No change in score,N,No change in score,Partial,No change in score,Y,No change in score
Origin Energy Ltd.,10022,207,-0.14258631,-0.05949209,21037,24020,2983,290,12097,0.023972886,-549,14461,2364,-0.03796418,-0.061937065,-0.8149,Oil & Gas,0.6,No change in score,0.58,No change in score,0.39,Australasia,Yes (use of sold product - Category 11 of the GHG protocol),Partial,No change in score,Partial,No change in score,Partial,No change in score,Partial,No change in score,Partial,No change in score,N,No change in score,Y,No change in score,Y,No change in score,Y,No change in score
PACCAR Inc.,13167.1,1729.7,0.228721586,0.090505026,29301.7,33275.5,3973.8,2441.4,23522.3,0.103790871,3894.9,28819.7,5297.4,0.135147139,0.031356268,8.64,Other transport,0.55,No change in score,0.4,No change in score,0.1,North America,Yes (use of sold product - Category 11 of the GHG protocol),N,No change in score,N,No change in score,Y,No change in score,N,No change in score,N,No change in score,N,No change in score,Partial,Improvement in score,Partial,No change in score,Partial,No change in score
Panasonic Holdings Corp.,3347171,578669,0.076277088,0.031820255,6847073,8023583,1176510,258600,6698794,0.038603964,357526,7388791,689997,0.048387618,0.009783655,109.41,Consumer goods & Services,0.59,No change in score,0.57,No change in score,0.13,Asia,No,Y,No change in score,Y,No change in score,Y,No change in score,N,No change in score,Partial,No change in score,N,No change in score,N,No change in score,Partial,No change in score,Partial,No change in score
PetroChina Co. Ltd.,1537853,128984,0.097135422,0.055874636,2502262,2673485,171223,165208,2551738,0.064743324,240215,3174708,622970,0.075665227,0.010921903,0.8162,Oil & Gas,0.55,Improvement in score,0.48,Not applicable,0.23,Asia,Yes (use of sold product - Category 11 of the GHG protocol),N,No change in score,N,No change in score,N,No change in score,N,No change in score,N,No change in score,N,No change in score,N,No change in score,Partial,Improvement in score,Partial,No change in score
Petroleo Brasileiro S.A. (Petrobras),364385,-25196,0.51683796,0.192818946,972951,976709,3758,187491,452668,0.414190974,303528,641256,188588,0.473333583,0.059142608,14.4377,Oil & Gas,0.5,No change in score,0.5,Not applicable,0.1,South America,Yes (use of sold product - Category 11 of the GHG protocol),Partial,No change in score,Partial,No change in score,Partial,No change in score,Partial,No change in score,N,No change in score,N,No change in score,N,No change in score,Partial,No change in score,Y,Improvement in score
Phillips 66,34106,12469,0.323227585,0.144213914,55594,76442,20848,605,111476,0.005427177,9597,169990,58514,0.056456262,0.051029085,23.36,Oil & Gas,0.29,No change in score,0.32,No change in score,0.21,North America,Yes (use of sold product - Category 11 of the GHG protocol),N,No change in score,Partial,Improvement in score,Partial,No change in score,N,No change in score,N,No change in score,N,No change in score,Partial,No change in score,Partial,No change in score,Partial,No change in score
Polska Grupa Energetyczna S.A. (PGE),54383,6092,0.061195594,0.031462119,88966,105778,16812,5270,52730,0.099943106,4290,73435,20705,0.05841901,-0.041524096,1.5624,Electric Utilities,0.38,No change in score,0.7,No change in score,0.33,Europe,No,Y,No change in score,Partial,No change in score,Partial,No change in score,N,No change in score,Y,No change in score,N,No change in score,Partial,No change in score,Partial,No change in score,N,No change in score
POSCO Holdings Inc.,58257400.59,3452457.237,0.053968877,0.031949897,91471614.11,98406780.64,6935166.523,9238089.232,76332345.05,0.12102457,4850053.016,84750203.7,8417858.652,0.057227627,-0.063796943,41456,Steel,0.52,No change in score,0.43,No change in score,0.27,Asia,No,Y,No change in score,Y,No change in score,Partial,No change in score,N,No change in score,Y,No change in score,N,No change in score,N,No change in score,Partial,No change in score,Partial,No change in score
PPL Corp.,13918,195,0.054318149,0.019980442,33223,37837,4614,1515,5811,0.260712442,1794,7902,2091,0.227031131,-0.033681311,0.97,Electric Utilities,0.49,No change in score,0.46,Decline in score,0.23,North America,No,Y,No change in score,Partial,No change in score,Partial,No change in score,N,No change in score,Partial,No change in score,N,No change in score,Partial,No change in score,Y,No change in score,Y,No change in score
Procter & Gamble Co.,46854,200,0.314636957,0.125776398,119307,117208,-2099,18296,76118,0.240363646,17813,80187,4069,0.22214324,-0.018220406,6,Consumer goods & Services,0.65,No change in score,0.44,No change in score,0.11,North America,Yes (purchased goods and services - Category 1 of the GHG protocol),Y,No change in score,Y,No change in score,Y,No change in score,N,No change in score,Partial,No change in score,N,No change in score,Partial,No change in score,Y,No change in score,Partial,No change in score
PT Aneka Tambang Tbk (ANTAM),23712060,2874962,0.161140154,0.113593193,32916154,33637271,721117,4021417,38445595,0.104600202,4900981,45930356,7484761,0.106704616,0.002104414,159.0031,Coal Mining,Not applicable,Not applicable,Not applicable,Not applicable,0.03,Asia,Yes (use of sold product - Category 11 of the GHG protocol),N,No change in score,N,No change in score,N,No change in score,N,No change in score,N,No change in score,N,No change in score,Partial,No change in score,N,No change in score,N,No change in score
PT Bumi Resources Tbk,2818.508,2172.061,0.186365978,0.117038436,4223.787,4488.047,264.26,127.336,1008.213,0.126298709,204.58,1830.08,821.867,0.111787463,-0.014511246,0.0031,Coal Mining,0.48,No change in score,Not applicable,Not applicable,0.05,Asia,Yes (use of sold product - Category 11 of the GHG protocol),N,No change in score,N,No change in score,N,No change in score,N,No change in score,N,No change in score,N,No change in score,Partial,No change in score,Partial,No change in score,N,No change in score
PT United Tractors Tbk,89513825,17691068,0.234657663,0.149525706,112561356,140478220,27916864,14479676,79460503,0.182224822,28791185,123607460,44146957,0.232924332,0.05069951,5679.4899,Other Industrials,0.51,Not applicable,Not applicable,Not applicable,0.05,Asia,Yes (use of sold product,N,No change in score,N,No change in score,N,No change in score,N,No change in score,N,No change in score,N,No change in score,Partial,No change in score,N,No change in score,N,No change in score
PTT Public Co. Ltd.,1533692.765,60753.043,0.059588924,0.026756715,3078018.833,3415632.292,337613.459,232829.022,2258818.487,0.103075578,231700.54,3367202.701,1108384.214,0.068810987,-0.034264592,3.1996,Oil & Gas,0.67,No change in score,Not applicable,Not applicable,0.1,Asia,Yes (use of sold product - Category 11 of the GHG protocol),Partial,Improvement in score,Partial,No change in score,Partial,No change in score,N,No change in score,N,No change in score,N,No change in score,N,No change in score,Partial,No change in score,Partial,No change in score
Qantas Airways Ltd.,-190,-706,4.526315789,-0.043759223,17880,19653,1773,-1386,5082,-0.272727273,-1437,7914,2832,-0.181576952,0.09115032,-0.456,Airlines,0.58,No change in score,0.53,No change in score,0.08,Australasia,No,Y,No change in score,Partial,No change in score,Partial,Improvement in score,N,No change in score,N,No change in score,N,No change in score,N,No change in score,Partial,No change in score,Partial,No change in score
Raytheon Technologies Corp.,74178,-486,0.070061204,0.032713516,161404,158864,-2540,4695,64388,0.072917314,5399,67074,2686,0.080493187,0.007575873,3.54,Other transport,0.65,No change in score,0.38,No change in score,0.1,North America,Yes (use of sold product - Category 11 of the GHG protocol),N,No change in score,N,No change in score,Partial,Improvement in score,Partial,No change in score,N,No change in score,N,No change in score,Partial,No change in score,Partial,No change in score,Partial,No change in score
Reliance Industries,8889840,895520,0.06509566,0.038587951,13212120,14996650,1784530,535050,4669240,0.114590383,812380,6999620,2330380,0.116060586,0.001470203,87.702,Oil & Gas,0.6,No change in score,0.63,Not applicable,0.08,Asia,Yes (use of sold product - Category 11 of the GHG protocol),N,No change in score,N,No change in score,N,No change in score,N,No change in score,N,No change in score,N,No change in score,N,No change in score,N,No change in score,N,No change in score
Renault S.A.,29539,1645,0.067097735,0.016751325,113740,118319,4579,1652,46213,0.035747517,2574,46391,178,0.0554849,0.019737383,7.2842,Autos,0.52,No change in score,0.43,No change in score,0.27,Europe,Yes (use of sold product - Category 11 of the GHG protocol),Y,No change in score,Y,No change in score,Partial,No change in score,Partial,No change in score,Partial,No change in score,N,No change in score,Partial,No change in score,Partial,No change in score,Y,No change in score
Repsol S.A.,25973,3179,0.161359874,0.069891935,56254,59964,3710,4165,44529,0.093534551,8239,69291,24762,0.118904331,0.02536978,2.9639,Oil & Gas,0.51,No change in score,0.52,No change in score,0.37,Europe,Yes (use of sold product - Category 11 of the GHG protocol),Partial,No change in score,Partial,No change in score,Partial,No change in score,Partial,No change in score,Y,No change in score,N,No change in score,Y,No change in score,Y,No change in score,Y,No change in score
Rio Tinto Limited,52274,-4316,0.237594215,0.128380055,102896,96744,-6152,29428,63495,0.463469565,17945,55554,-7941,0.323019045,-0.14045052,7.6676,Diversified Mining,0.48,No change in score,0.47,No change in score,0.37,Europe & Australasia,Yes (processing of sold products - Category 10 of the GHG protocol),Partial,No change in score,Partial,No change in score,Partial,No change in score,Partial,No change in score,Partial,No change in score,Partial,No change in score,Y,No change in score,Partial,No change in score,Y,No change in score
Rolls-Royce Holdings plc,-6016,-1380,0.197639628,-0.040373514,28674,29450,776,465,11218,0.041451239,787,13520,2302,0.058210059,0.01675882,-0.1424,Other transport,0.68,No change in score,0.6,No change in score,0.18,Europe,Yes (use of sold product - Category 11 of the GHG protocol),Y,No change in score,Y,No change in score,Partial,No change in score,N,No change in score,Partial,No change in score,N,No change in score,N,No change in score,Partial,No change in score,Partial,No change in score
RWE AG,29279,12283,0.092796885,0.019610532,142309,138548,-3761,1636,24526,0.066704722,-2027,38366,13840,-0.052833238,-0.119537959,3.9306,Electric Utilities,0.57,No change in score,0.61,No change in score,0.41,Europe,Yes (use of sold product from oil and gas distribution businesses - Category 11 of the GHG protocol),Y,No change in score,Y,No change in score,Partial,No change in score,Partial,No change in score,Y,No change in score,Partial,No change in score,Y,No change in score,Partial,No change in score,Partial,No change in score
Saic Motor Corp.,336300.237,7529.506,0.047926074,0.016278588,916922.696,990107.381,73184.685,20303.14,765908.578,0.026508568,12646.572,728625.504,-37283.074,0.017356752,-0.009151817,1.4,Autos,0.61,No change in score,0.54,Not applicable,0.16,Asia,Yes (use of sold product - Category 11 of the GHG protocol),N,No change in score,N,No change in score,N,No change in score,N,No change in score,N,No change in score,N,No change in score,N,No change in score,N,No change in score,N,No change in score
Saint-Gobain S.A.,23154,2028,0.129696813,0.05422829,51584,55377,3793,4205,44160,0.09522192,5053,51197,7037,0.098697189,0.003475269,5.8382,Other Industrials,0.77,No change in score,0.48,No change in score,0.49,Europe,No,Y,No change in score,Y,No change in score,Y,No change in score,Y,No change in score,Partial,No change in score,N,No change in score,N,No change in score,Partial,No change in score,Y,No change in score
Santos Ltd.,14843,1233,0.142289295,0.073191017,30009,28856,-1153,1320,4713,0.280076384,3257,7790,3077,0.418100128,0.138023744,0.6303,Oil & Gas,0.47,No change in score,0.43,No change in score,0.18,Australasia,Yes (use of sold product - Category 11 of the GHG protocol),Partial,No change in score,Partial,No change in score,Partial,No change in score,Partial,No change in score,Y,No change in score,N,No change in score,Y,Improvement in score,Partial,No change in score,Y,Improvement in score
Sasol Ltd.,193197,40726,0.201638742,0.092852308,360743,419548,58805,26448,201910,0.130989055,49886,275738,73828,0.180918118,0.049929063,62.3396,Oil & Gas,0.59,No change in score,0.59,No change in score,0.26,Africa,Yes (use of sold product - Category 11 of the GHG protocol),Y,Improvement in score,Y,Improvement in score,Partial,No change in score,Partial,No change in score,Partial,No change in score,N,No change in score,Y,No change in score,Y,No change in score,Y,Improvement in score
Saudi Arabian Oil Company (Aramco),1666147,385479,0.358440762,0.239564062,2162690,2492924,330234,771468,1346930,0.572760277,1143604,2006955,660025,0.569820449,-0.002939828,2.7157,Oil & Gas,0.44,No change in score,0.33,No change in score,0.09,Asia,Yes (use of sold product - Category 11 of the GHG protocol),N,No change in score,N,No change in score,N,No change in score,N,No change in score,N,No change in score,N,No change in score,N,No change in score,N,No change in score,N,No change in score
Shell plc,192597,17271,0,0,404379,443024,38645,24814,261504,0.094889562,64403,381314,119810,0.168897549,0.074007987,0,Oil & Gas,0.68,No change in score,0.51,Improvement in score,0.62,Europe,Yes (use of sold product - Category 11 of the GHG protocol),Y,No change in score,Y,Improvement in score,Partial,No change in score,Partial,No change in score,Partial,No change in score,N,No change in score,Y,No change in score,Y,No change in score,Y,Improvement in score
Siemens Energy,17187,1967,-0.023506138,-0.007894788,44141,51173,7032,-411,28482,-0.014430166,-408,28997,515,-0.014070421,0.000359745,-0.5605,Other Industrials,0.62,No change in score,0.58,No change in score,0.36,Europe,Yes (use of sold product,Partial,No change in score,Partial,No change in score,Y,No change in score,Partial,Improvement in score,Partial,No change in score,N,No change in score,Partial,No change in score,Partial,No change in score,Partial,No change in score
SK Innovation Co. Ltd.,23242311.38,3609116.884,0.06750717,0.023341978,49557440.2,67218924.28,17661484.07,1754170.704,46842929.11,0.037447929,3917340.789,78056939.45,31214010.34,0.050185683,0.012737753,18511,Oil & Gas,0.56,No change in score,0.43,Not applicable,0.07,Asia,Yes (use of sold product - Category 11 of the GHG protocol),Partial,No change in score,Partial,No change in score,Partial,No change in score,Partial,No change in score,N,No change in score,N,No change in score,Partial,No change in score,Partial,No change in score,Partial,No change in score
South32 Ltd.,10779,1825,0.247611096,0.163381489,13242,16336,3094,773,5476,0.141161432,3507,9269,3793,0.378357967,0.237196536,0.5743,Diversified Mining,0.51,No change in score,0.55,Improvement in score,0.1,Australasia,Yes (processing of sold products (Category 10 of the GHG protocol) and use of sold products (Category 11 of the GHG protocol)),Partial,No change in score,Partial,No change in score,Partial,No change in score,N,No change in score,Partial,No change in score,N,No change in score,Partial,No change in score,Partial,No change in score,Y,No change in score
SSAB AB,67190,-6318,-0.162018157,-0.099224326,112019,109711,-2308,18269,95891,0.190518401,-4362,128745,32854,-0.033880927,-0.224399329,-10.571,Steel,0.66,No change in score,0.48,No change in score,0.44,Europe,No,Y,No change in score,Y,No change in score,Y,No change in score,Y,No change in score,Partial,No change in score,N,No change in score,Partial,No change in score,Partial,No change in score,Partial,No change in score
SSE PLC,9173.8,2492.7,0.277823803,0.09893484,21591.6,25761.4,4169.8,1769.5,6826.4,0.259214227,3330.6,8608.2,1781.8,0.386910155,0.127695928,2.4158,Electric Utilities,0.83,No change in score,0.78,Improvement in score,0.47,Europe,Yes (use of sold product from oil and gas distribution businesses - Category 11 of the GHG protocol),Y,No change in score,Y,Improvement in score,Y,No change in score,Partial,No change in score,Partial,No change in score,Partial,Improvement in score,Partial,No change in score,Y,No change in score,Partial,No change in score
Stellantis NV (former Fiat/PSA Groupe),72382,16075,0.232088088,0.090241518,171766,186156,14390,15841,149419,0.106017307,21045,179592,30173,0.11718228,0.011164973,5.3498,Autos,0.52,No change in score,0.49,No change in score,0.31,Europe,Yes (use of sold product - Category 11 of the GHG protocol),Y,Improvement in score,Y,Improvement in score,Partial,Improvement in score,Partial,Improvement in score,Partial,Improvement in score,N,No change in score,N,No change in score,Partial,Improvement in score,Partial,Improvement in score
Suncor Energy Inc.,39367,2753,0.230573831,0.107270321,83739,84618,879,6463,39132,0.165158949,13925,58336,19204,0.238703374,0.073544424,6.54,Oil & Gas,0.55,No change in score,0.49,Decline in score,0.3,North America,Yes (use of sold product - Category 11 of the GHG protocol),Partial,No change in score,Partial,No change in score,N,No change in score,N,No change in score,N,No change in score,N,No change in score,Partial,No change in score,Partial,No change in score,Partial,No change in score
